City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Bangalore,299.0482178,297.2410889,02-2013
Bhopal,293.5848389,293.436615,02-2013
Bhubaneswar,294.0830383,294.0830383,02-2013
Chennai,297.436615,297.436615,02-2013
Delhi,294.0812683,294.0812683,02-2013
Hyderabad,298.6142883,298.5026855,02-2013
Jaipur,292.4526978,292.4526978,02-2013
Kolkata,296.4017944,295.9437561,02-2013
Mumbai,299.499115,299.499115,02-2013
Pune,299.499115,299.499115,02-2013
Ahmedabad,301.2427368,301.0927429,03-2013
Bangalore,300.9596863,300.580658,03-2013
Bhopal,300.1766052,299.8250122,03-2013
Bhubaneswar,299.3411255,299.3411255,03-2013
Chennai,300.7887268,300.7887268,03-2013
Delhi,298.1596985,298.1596985,03-2013
Hyderabad,302.1443481,301.192749,03-2013
Jaipur,299.0387268,299.0387268,03-2013
Kolkata,301.7338867,300.6653442,03-2013
Mumbai,301.6008301,301.6008301,03-2013
Pune,301.6008301,301.6008301,03-2013
Ahmedabad,304.5708313,304.5491638,04-2013
Bangalore,301.7799988,301.710022,04-2013
Bhopal,304.0825195,303.5441589,04-2013
Bhubaneswar,302.2016602,302.2016602,04-2013
Chennai,301.7749939,301.7749939,04-2013
Delhi,302.4783325,302.4783325,04-2013
Hyderabad,305.3674927,304.3500061,04-2013
Jaipur,303.1758423,303.1758423,04-2013
Kolkata,304.7133484,303.2883301,04-2013
Mumbai,302.3200073,302.3200073,04-2013
Pune,302.3200073,302.3200073,04-2013
Ahmedabad,308.8895264,308.830658,05-2013
Bangalore,305.308075,302.4250183,05-2013
Bhopal,308.8427429,307.6088867,05-2013
Bhubaneswar,305.8887024,305.8887024,05-2013
Chennai,305.9145203,305.9145203,05-2013
Delhi,309.250824,309.250824,05-2013
Hyderabad,309.3516235,307.9250183,05-2013
Jaipur,308.4790344,308.4790344,05-2013
Kolkata,305.0491943,304.7322693,05-2013
Mumbai,305.1169434,305.1169434,05-2013
Pune,305.1169434,305.1169434,05-2013
Ahmedabad,308.2525024,307.5691833,06-2013
Bangalore,298.4150085,297.1816711,06-2013
Bhopal,305.8166809,305.8033447,06-2013
Bhubaneswar,300.1566772,300.1566772,06-2013
Chennai,303.625,303.625,06-2013
Delhi,311.25,311.25,06-2013
Hyderabad,301.7391663,299.605835,06-2013
Jaipur,309.2225037,309.2225037,06-2013
Kolkata,302.4100037,301.3200073,06-2013
Mumbai,300.2391663,300.2391663,06-2013
Pune,300.2391663,300.2391663,06-2013
Ahmedabad,305.2596741,302.8250122,07-2013
Bangalore,296.6016235,296.3250122,07-2013
Bhopal,301.2338867,301.0096741,07-2013
Bhubaneswar,297.4580688,297.4580688,07-2013
Chennai,300.7217712,300.7217712,07-2013
Delhi,309.3161316,309.3161316,07-2013
Hyderabad,297.7403259,296.7846985,07-2013
Jaipur,306.432251,306.432251,07-2013
Kolkata,301.3427429,299.8862915,07-2013
Mumbai,298.9742126,298.9742126,07-2013
Pune,298.9742126,298.9742126,07-2013
Ahmedabad,303.5830688,301.579834,08-2013
Bangalore,296.6766052,295.9137268,08-2013
Bhopal,299.1217957,298.3887024,08-2013
Bhubaneswar,297.1145325,297.1145325,08-2013
Chennai,300.7113037,300.7113037,08-2013
