system:index,ADM0_NAME,ADM1_NAME,ADM2_NAME,date,mean
0_00010000000000000e2c,India,Maharashtra,Raigarh,2018-01-01,16.626530918747104
0_00010000000000000e2d,India,Maharashtra,Ratnagiri,2018-01-01,20.332981117068165
0_00010000000000000e2e,India,Maharashtra,Sindhudurg,2018-01-01,23.104056559909992
0_00010000000000000e2f,India,Maharashtra,Sangli,2018-01-01,16.70569742925839
0_00010000000000000e30,India,Maharashtra,Satara,2018-01-01,15.864548472602946
0_00010000000000000e31,India,Maharashtra,Solapur,2018-01-01,15.616865868906949
0_00010000000000000e32,India,Maharashtra,Thane,2018-01-01,13.760441652414269
0_00010000000000000e33,India,Maharashtra,Wardha,2018-01-01,11.79286931842574
0_00010000000000000e34,India,Maharashtra,Yavatmal,2018-01-01,12.686158540269895
0_00010000000000000e35,India,Maharashtra,Aurangabad,2018-01-01,10.374665753423983
0_00010000000000000e36,India,Maharashtra,Ahmednagar,2018-01-01,11.548298460010136
0_00010000000000000e37,India,Maharashtra,Bid,2018-01-01,12.527347420902771
0_00010000000000000e3a,India,Maharashtra,Jalna,2018-01-01,10.545284461441938
0_00010000000000000e40,India,Manipur,Bishnupur,2018-01-01,16.39391120784027
0_00010000000000000e41,India,Manipur,Chandel,2018-01-01,16.64677231086834
0_00010000000000000e42,India,Manipur,Churachandpur,2018-01-01,19.35917021464563
0_00010000000000000e44,India,Manipur,Senapati,2018-01-01,15.764397238690812
0_00010000000000000e45,India,Manipur,Tamenglong,2018-01-01,18.266296315990672
0_00010000000000000e46,India,Manipur,Thoubal,2018-01-01,15.447237918845588
0_00010000000000000e47,India,Manipur,Ukhrul,2018-01-01,13.500924404657836
0_00010000000000000e49,India,Meghalaya,East Garo Hills,2018-01-01,19.72400410515581
0_00010000000000000e4b,India,Meghalaya,Jaintia Hills,2018-01-01,16.080156170633213
0_00010000000000000e4d,India,Meghalaya,West Khasi Hills,2018-01-01,18.673839887372687
0_00010000000000000e56,India,Nagaland,Mokokchung,2018-01-01,23.216395750636973
0_00010000000000000e57,India,Nagaland,Mon,2018-01-01,23.269223824759614
0_00010000000000000e58,India,Nagaland,Phek,2018-01-01,17.2343644780776
0_00010000000000000e59,India,Nagaland,Tuensang,2018-01-01,19.012629659000588
0_00010000000000000e5a,India,Nagaland,Wokha,2018-01-01,23.69725952291841
0_00010000000000000e5b,India,Nagaland,Zunheboto,2018-01-01,20.37739565035384
0_00010000000000000e61,India,Orissa,Keonjhar,2018-01-01,16.228038590314355
0_00010000000000000e63,India,Orissa,Mayurbhanj,2018-01-01,15.868385354751721
0_00010000000000000e66,India,Orissa,Sundargarh,2018-01-01,15.240959091701539
0_00010000000000000e7b,India,Punjab,Amritsar,2018-01-01,6.762191249439368
0_00010000000000000e7d,India,Punjab,Firozpur,2018-01-01,6.874532432008471
0_00010000000000000e7e,India,Punjab,Gurdaspur,2018-01-01,6.444186097882888
0_00010000000000000e80,India,Punjab,Jalandhar,2018-01-01,6.978134973753709
