City,Maximum_Mean_Temperature,Minimum_Mean_Temperature,Quarter,Ward
Ahmedabad,306.9692383,306.9692383,2012_Q2,12 NARODA
Ahmedabad,306.9692383,306.9692383,2012_Q2,11 SARDARNAGAR
Ahmedabad,306.9692383,306.9692383,2012_Q2,10 S.P.STADIUM
Ahmedabad,306.9692383,306.9692383,2012_Q2,09 NARANPURA
Ahmedabad,306.9692383,306.8843384,2012_Q2,08 THALTEJ
Ahmedabad,306.9692383,306.9692383,2012_Q2,07 GHATLODIA
Ahmedabad,306.9692383,306.9692383,2012_Q2,06 NEW WADAJ
Ahmedabad,306.9692383,306.9692383,2012_Q2,05 RANIP
Ahmedabad,306.9692383,306.9692383,2012_Q2,04 SABARMATI
Ahmedabad,306.9692383,306.9692383,2012_Q2,03 CHANDKHEDA
Ahmedabad,306.9692383,306.9692383,2012_Q2,02 CHANDLODIA
Ahmedabad,306.9692383,306.8843384,2012_Q2,01 GOTA
Ahmedabad,302.7627869,302.7627869,2012_Q3,48 RAMOL HATHIJAN
Ahmedabad,302.7627869,302.7627869,2012_Q3,47 VATVA
Ahmedabad,302.7627869,302.7627869,2012_Q3,46 LAMBHA
Ahmedabad,302.7627869,302.7627869,2012_Q3,45 ISANPUR
Ahmedabad,302.7627869,302.7627869,2012_Q3,44 KHOKHRA
Ahmedabad,302.7627869,302.7627869,2012_Q3,43 BHAIPURA HATKESHWAR
Ahmedabad,302.7627869,302.7627869,2012_Q3,42 INDRAPURI
Ahmedabad,302.7627869,302.7627869,2012_Q3,41 VASTRAL
Ahmedabad,302.7627869,302.7627869,2012_Q3,40 ODHAV
Ahmedabad,302.7627869,302.7627869,2012_Q3,39 AMRAIWADI
Ahmedabad,302.7627869,302.7627869,2012_Q3,38 GOMTIPUR
Ahmedabad,302.7627869,302.7627869,2012_Q3,37 MANINAGAR
Ahmedabad,302.7627869,302.7627869,2012_Q3,36 DANILIMDA
Ahmedabad,302.7627869,302.7627869,2012_Q3,35 BAHERAMPURA
Ahmedabad,304.8250122,302.7627869,2012_Q3,34 MAKTAMPURA
Ahmedabad,304.8250122,302.7627869,2012_Q3,33 SARKHEJ
Ahmedabad,302.7627869,302.7627869,2012_Q3,32 VEJALPUR
Ahmedabad,302.7627869,302.7627869,2012_Q3,31 VASNA
Ahmedabad,302.7627869,302.7627869,2012_Q3,30 PALDI
Ahmedabad,302.7627869,302.7627869,2012_Q3,29 JAMALPUR
Ahmedabad,302.7627869,302.7627869,2012_Q3,28 KHADIA
Ahmedabad,302.7627869,302.7627869,2012_Q3,27 SARASPUR-RAKHIYAL
Ahmedabad,302.7627869,302.7627869,2012_Q3,26 BAPUNAGAR
Ahmedabad,302.7627869,302.7627869,2012_Q3,25 VIRATNAGAR
Ahmedabad,302.7627869,302.7627869,2012_Q3,24 NIKOL
Ahmedabad,302.7627869,302.7627869,2012_Q3,23 THAKKARBAPANAGAR
Ahmedabad,302.7627869,302.7627869,2012_Q3,22 INDIA COLONY
Ahmedabad,302.7627869,302.7627869,2012_Q3,21 DARIYAPUR
Ahmedabad,304.8250122,302.7627869,2012_Q3,20 JODHPUR
Ahmedabad,304.8250122,302.7627869,2012_Q3,19 BODAKDEV
Ahmedabad,302.7627869,302.7627869,2012_Q3,18 NAVRANGPURA
Ahmedabad,302.7627869,302.7627869,2012_Q3,17 SHAHPUR
Ahmedabad,302.7627869,302.7627869,2012_Q3,16 SHAHIBAG
Ahmedabad,302.7627869,302.7627869,2012_Q3,15 ASARWA
Ahmedabad,302.7627869,302.7627869,2012_Q3,14 KUBERNAGR
Ahmedabad,302.7627869,302.7627869,2012_Q3,13 SAIJPUR BOGHA
